timestamp,depth_mm,velocity_mps,flow_lps
2026-01-17 14:06:44.705688+10:00,172.0,0.358,36.0
2026-01-17 14:08:24.904702+10:00,295.0,0.363,62.0
2026-01-17 14:13:29.888590+10:00,221.0,0.388,50.0
2026-01-17 14:18:28.216633+10:00,211.0,0.388,47.0
2026-01-17 14:23:28.495670+10:00,197.0,0.385,44.0
2026-01-17 14:28:28.252443+10:00,184.0,0.374,40.0
2026-01-17 14:33:28.240708+10:00,321.0,0.372,69.0
2026-01-17 14:38:28.240484+10:00,337.0,0.407,79.0
2026-01-17 14:43:28.452903+10:00,261.0,0.437,66.0
2026-01-17 14:48:28.319687+10:00,215.0,0.425,53.0
2026-01-17 14:53:28.263560+10:00,187.0,0.404,44.0
2026-01-17 14:58:28.405935+10:00,173.0,0.38,38.0
2026-01-17 15:03:30.269693+10:00,366.0,0.383,81.0
2026-01-17 15:08:28.489660+10:00,230.0,0.404,54.0
2026-01-17 15:13:17.813506+10:00,230.0,0.4,51.0
2026-01-17 15:13:21.461947+10:00,221.0,0.4,51.0
2026-01-17 15:19:03.821128+10:00,194.0,0.396,44.0
2026-01-17 15:24:03.872736+10:00,175.0,0.384,39.0
2026-01-17 15:29:04.491072+10:00,173.0,0.365,36.0
2026-01-17 15:34:04.074293+10:00,166.0,0.351,34.0
